"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",202079.3,5010.9,6938.1,5.6,0.6,10.7,55.3,35.7,514126.7,129477.8,6615.1,20814.7,5.5,17155.1,56103.3,115.4,373.4,144.8,31,173.4,5.3,10.4,191.9,42,3.5,4.2,5465.2,90.1,343.9,22031,652,1012.6,32.7,244.3,13811.4,40.7,26516.7,47.2,1010.5,5.3,19.7,254,7380.7,1921.6,11.1,1974,1474.4,4346.9,1126.6,0,266163.7,23.3,8.2,52576.9,762.8,691.7,556.4,12087.1,-50521.4
"TTL_02",1087.3,11911.5,290.3,421.2,9.2,118.1,19,1.5,1688.8,48.5,38399.6,2901.5,20.7,6654,114.1,19019.2,77.4,18.9,59.8,315.3,1.8,54.9,168.1,9.5,5.8,5.2,4566.4,5.4,38.2,7785.1,22.9,361.1,17.2,257.3,8.2,0.5,248.1,0.7,42.2,0.7,0.9,9,485,68.1,0.6,262.8,25.1,269.4,47.3,0,921.5,23.1,0.4,7.4,0.4,7.6,0,58.5,-5376.8
"TTL_03",1978.1,4.5,23489.3,0.1,0.1,0.5,2.7,3.5,52385.2,551.8,282.5,303.8,1,1803.2,79.9,24.7,15.7,29.9,0.3,0.2,0.7,0.3,36,6.5,0.6,0.6,171.9,5,264.7,1.2,69.9,0.3,590.8,0.2,1,68.7,24205.9,2.5,86.8,0.1,1.8,27.6,1822.9,251.6,1.3,419.8,38.1,142.3,112.2,0,47655.3,5.3,1.9,19.5,13.9,39.5,42.3,1058.8,-1211.6
"TTL_05",72.7,6.6,3.7,50354.3,372.3,1112.3,866.6,309.5,2339.1,1868.3,548.7,4012.4,14124,29669.3,503.7,1817.1,37710.3,37115.2,5689.1,2275.5,25.4,333.3,2252.6,342.3,18.2,167.8,1029,120029.6,821.5,724,14.9,988.6,34.8,63.8,19.2,69.5,49,53.9,0,0.1,0.1,67,265.3,26.9,487.9,448,555.1,52.7,311.5,0,2788.1,0,0.2,1.2,1.3,0.9,0,845.4,-17756.1
"TTL_06",45.1,4.5,12.8,177.1,2671.1,295.8,262.9,129.8,8.5,8.3,3.6,1151,298108.6,41398.1,27.4,402.7,2606.2,642.4,910.7,806,13.6,14.2,1210.4,452.1,30.1,142.3,5.2,63904.6,6,103.6,23.6,256.6,74.6,53.7,60.3,4.2,3.2,1.2,2.1,1.4,14.5,4.8,75.1,51.6,24.1,6.2,4.1,1.9,4.7,0,319.2,0,3.7,74.8,10.3,24.7,0,2083.8,-217598.8
"TTL_07",4.1,0.3,0.1,204.8,4.7,28869.7,415.2,0.2,1.8,3,1,4.1,73.7,7657.5,380.1,594.9,4932.3,189100,92103.4,4431.9,15.9,1241.2,624.2,72.2,15.9,8.5,50.6,200.6,311,1216,2.2,1.2,0.3,0.3,0.4,0.1,0.2,0.2,0.3,0.4,1.3,0.5,207.4,0.6,0.5,0.4,0.7,0.2,0.8,0,2.9,0,1,1.9,-2.9,5.3,0,2456.3,-151522.6
"TTL_08",14.5,1.3,2.9,746.2,8109.4,497.2,1542,40,332.8,19,36.7,166.2,5,12695.7,65.8,58,58054.6,1034.5,361.7,213.6,6.6,782.8,329.7,131.4,3.9,9.9,486.3,207.1,12.9,14919.9,1.4,19,3,0.6,3.3,0.1,1.3,0.7,0.2,0.5,0.5,0.3,22.2,0.9,0.6,0.9,2.3,2.7,6.7,0,180.1,0,0.6,20.1,-1.8,4.1,0,2749.5,-4979.1
"TTL_09",1.3,0.1,0.1,736.4,14712.5,319.3,395.9,94.8,401,1.2,0.4,1.8,1911.2,46.4,0.5,1.6,1148.2,34.5,17.7,2.8,2.4,1.7,3.3,1.6,0.1,0.5,0.6,216.2,13.5,2132.3,2.4,2,0.7,0.4,0.5,0.1,0.3,0.1,0.4,0.4,1.4,0.5,2.5,0.7,0.4,0.2,0.3,0.1,0.3,0,3,0,1,3.5,0.9,4.8,0,504.8,-1014.6
"TTL_10T12",143236.7,421.7,15735.2,1264.6,671.7,1379.1,937.4,13.1,314552.5,20649.4,893.7,2137.8,2060.9,40542.8,7868.4,1798.8,4784,4283.6,3364.3,3364,5650.2,4272.9,6809.8,1872.7,247.1,530.2,1927.3,2837.9,2519.6,8330.7,9343.9,4761.7,3027.9,4656.8,4068.6,678.2,109741.9,1451,2752.2,1044.9,3866.4,4064.8,11111.7,4632.7,8973.2,8333.5,6840.4,4537.3,6797.8,0,644011.5,126.7,9.3,58.8,375.3,2504,2281.3,41073.7,-38557
"TTL_13T15",671.1,130.5,12.4,1284.8,337.5,927.5,372.3,160.7,2461,493547.5,1026.1,4430.5,263.4,7894.7,5453.3,18182.3,8991.9,1606.6,1488.2,3426.6,1600.7,3582.1,6620.5,14946.6,356.8,876.9,25587.5,646.6,2844,14531.6,3442.3,2878.1,83.1,678.1,1788.5,344.6,4191.5,4157.7,523.4,44.3,7228.3,2594,7358.2,5055.9,19559.1,984.4,9577.2,1578.2,2555.8,0,190000.9,19.4,5.8,71.8,1112.7,1034.1,1729.2,274120.1,-25813.6
"TTL_16",99.8,22.2,31.3,6527.5,1.9,340.1,162.9,6.6,534.7,1178,63234.1,4102.6,54.3,1137.3,37.2,1043.6,3821.8,486.5,817.9,5038.7,804,1531.9,5173.1,975.1,170.1,305.1,34414.6,13.5,373.5,64867.3,138.5,144.4,25.1,1.4,15,129.2,118.6,14.1,1.6,2.5,50.9,185,97.1,30.5,55.2,4.3,5.9,173.6,126.3,0,3206,0,13.4,136.2,71.2,103,83.3,11974.2,-7252.3
"TTL_17T18",137.9,35.8,48.1,137.7,32.9,324,126,12.4,13719.6,4278.4,1232,102089.9,76.6,4787.8,2943.3,2261.5,11451.4,289.3,490.5,2172,7361.3,7539.8,5180.8,1322.3,39,265.5,7666.7,690.8,516.1,2222.4,25974.2,881.7,32.8,99.9,273.3,1599.1,864.4,7907,1158.2,15277.1,21899.4,3332.2,45636.3,10320.8,9610.7,4643.2,726.2,263.7,1488.2,0,5441.9,0.1,14.2,538.4,132.5,351.3,244.1,14860.6,-12279.5
"TTL_19",10895.3,1123.5,3498.9,1322.2,5624.8,5881.7,4121.6,801,1231.8,997.2,588.5,666.5,19717.3,104248.7,381.1,2589.5,20368.8,41490,8652.1,2710.1,1720.2,1898.8,3996,1799.4,327.3,367.3,948.8,26204.8,1426.8,23020.1,5210.9,71586.8,27285.7,20632.2,16090.9,1111.5,737.4,214.3,389.8,153.1,3138.2,1033.8,19915.4,14106.1,6513.8,1583,510,462.2,1024.9,0,16403.3,2.6,9.1,70.5,74.6,705.9,409.3,21067.6,-31944.7
"TTL_20",99583.4,6504.9,710.8,5444.6,3343.1,7776.2,6466.5,1548.4,7623.3,60283,11717.2,31518.7,6630.6,437515.3,12763.2,138921.4,53636.1,5552,16823.7,24232.1,31911.8,40651,17740.1,10383.4,1152.9,1801.9,14558.3,863.7,6819.5,79181.8,588.6,1044.5,166.6,249.5,3345.1,163.3,2076,2304.5,27.8,3174.6,776.5,745.6,32760.9,4436.8,4221.1,6240.6,13428.1,2180.1,13086.1,0,22918,10.6,28.3,158.2,223.3,289,323.6,87648.3,-119962.5
